@@TAXID	RANK	TAXPATH	TAXPATHSN	PERCENTAGE
89940	species	2706|4753|4967|5583|5584|82105|89940	Eukaryota|Ascomycota|Eurotiomycetes|Chaetothyriales|Herpotrichiellaceae|Cladophialophora|Cladophialophora bantiana	0.19855629173145298
559561	species	2706|4753|5014|5422||5579|559561	Eukaryota|Ascomycota|Dothideomycetes|Dothideales|Saccotheciaceae|Aureobasidium|Aureobasidium namibiae	0.16783686820415805
1217826	species	2706|4753|40219|40220|1196433|1217823|1217826	Eukaryota|Ascomycota|Xylonomycetes|Xylonomycetales|Xylonomycetaceae|Xylona|Xylona heveae	0.16182688872863832
5334	species	2706|4970|5218|5320|5332|5333|5334	Eukaryota|Basidiomycota|Agaricomycetes|Agaricales|Schizophyllaceae|Schizophyllum|Schizophyllum commune	0.15666993825465964
5508	species	2706|4753|5044|5046|5127|5507|5508	Eukaryota|Ascomycota|Sordariomycetes|Hypocreales|Nectriaceae|Fusarium oxysporum species complex|Fusarium oxysporum	0.15320585333766226
280754	species	2706|4753|5044|5046|5047|132164|280754	Eukaryota|Ascomycota|Sordariomycetes|Hypocreales|Clavicipitaceae|Pochonia|Pochonia chlamydosporia	0.14618164203209114
73501	species	2706|4753|5044|5046|5581|45234|73501	Eukaryota|Ascomycota|Sordariomycetes|Hypocreales|Cordycipitaceae|Cordyceps|Cordyceps militaris	0.14459342164893263
5482	species	2706|4753|4891|4892|4920|5475|5482	Eukaryota|Ascomycota|Saccharomycetes|Saccharomycetales|Debaryomycetaceae|Candida|Candida tropicalis	0.14257539419629725
383855	species	2706|4753|5014|5473|5499|113226|383855	Eukaryota|Ascomycota|Dothideomycetes|Capnodiales|Mycosphaerellaceae|Pseudocercospora|Pseudocercospora fijiensis	0.13240320279067017
176275	species	2706|4753|5044|5046|5581|37994|176275	Eukaryota|Ascomycota|Sordariomycetes|Hypocreales|Cordycipitaceae|Beauveria|Beauveria bassiana	0.1305875553166449
984486	species	2706|4753|4891|4892|4920|45609|984486	Eukaryota|Ascomycota|Saccharomycetes|Saccharomycetales|Debaryomycetaceae|Babjeviella|Babjeviella inositovora	0.12291556622334211
	species	2706|4970|5032|5280|5281|1037660|	Eukaryota|Basidiomycota|Exobasidiomycetes|Georgefischeriales|Tilletiariaceae|Tilletiaria|Tilletiaria anomala	0.11959205367580844
930089	species	2706|4753|5014|5015|5016|5017|930089	Eukaryota|Ascomycota|Dothideomycetes|Pleosporales|Pleosporaceae|Bipolaris|Bipolaris zeicola	0.11571920992393123
29898	species	2706|4970|4996|5001|5002|5286|29898	Eukaryota|Basidiomycota|Microbotryomycetes|Sporidiobolales|Sporidiobolaceae|Rhodotorula|Rhodotorula graminis	0.1112347298091657
36779	species	2706|4753|5044|29849|29850|36778|36779	Eukaryota|Ascomycota|Sordariomycetes|Magnaporthales|Magnaporthaceae|Gaeumannomyces|Gaeumannomyces tritici	0.09594173800436137
