taxon_id	name
10911	Coltivirus
307240	Bacillus phage GIL16c
1159904	Night heron coronavirus HKU19
1234886	Dragonfly-associated circular virus 2
1234884	Dragonfly-associated circular virus 3
1670973	Gyrovirus GyV8
67585	Milk vetch dwarf virus
39046	Cassava common mosaic virus
1647313	Mycobacterium phage ShedlockHolmes
1736759	Chayote yellow mosaic Benin betasatellite
1211640	Caulobacter phage CcrColossus
1163715	Gyrovirus GyV3
1899219	Synedrella leaf curl virus
1849328	Enterovirus goat/JL14
157897	Rudiviridae
1567005	Mycobacterium phage MiaZeal
10535	unclassified Mastadenovirus
1904880	Macroptilium bright mosaic virus
1182518	Maize streak Reunion virus
1406343	Tai virus
642256	Circovirus-like genome CB-A
1755679	Bacillus phage BM5
1476485	Andrographis yellow vein leaf curl betasatellite
1922444	Beihai narna-like virus 17
1087482	Salmonella phage vB_SenMS16
1922442	Beihai narna-like virus 15
75747	Fusarium poae virus 1
1922534	Beihai picorna-like virus 106
10621	Human papillomavirus type 9
10284	Entomopoxvirinae
1054649	Beauveria bassiana RNA virus 1
1434319	Staphylococcus phage vB_SepS_SEP9
1655645	Parabacteroides phage YZ-2015b
1655644	Parabacteroides phage YZ-2015a
1327766	Mycobacterium phage Newman
460926	Tomato zonate spot virus
1745250	Bat hepatovirus
1223561	CAS virus
1572754	Escherichia phage P694
881953	Lactococcus phage 949
1980433	Rose rosette emaravirus
1562380	Fusarium coeruleum mitovirus 1
1327770	Mycobacterium phage HINdeR
294382	Bacillus phage BCJA1c
11277	Vesicular stomatitis Indiana virus
1500812	Propionibacterium phage PHL085N00
1955175	Cordoba virus
10979	Aquareovirus
1592086	Sewage-associated circular DNA virus-19
1592085	Sewage-associated circular DNA virus-18
1922431	Beihai mantis shrimp virus 4
1922432	Beihai mantis shrimp virus 5
1922433	Beihai mantis shrimp virus 6
1977402	Escherichia virus M13
1592084	Sewage-associated circular DNA virus-17
1469956	Danaus plexippus plexippus iteravirus
1592082	Sewage-associated circular DNA virus-15
542343	Adoxophyes orana nucleopolyhedrovirus
10398	Ovine gammaherpesvirus 2
694001	Miniopterus bat coronavirus HKU8
1588049	Tadarida brasiliensis polyomavirus 2
11215	Bovine respirovirus 3
1497019	Leishmania aethiopica RNA virus
10398	Macavirus
360397	Chipapillomavirus
145579	Bdellovibrio phage phiMH2K
11244	Pneumoviridae
1511883	Human bocavirus 4 NI
614034	Tomato leaf curl Nigeria virus-[Nigeria:2006]
366617	unclassified Alphacoronavirus
134554	Pseudomonas phage phi13
1739610	Lactobacillus phage iLp84
943083	California sea lion adenovirus 1
1923723	Wuhan insect virus 19
223275	East African cassava mosaic Zanzibar virus
223308	Potato yellow mosaic Trinidad virus
1655661	Microviridae Fen7918_21
1655662	Microviridae Fen7940_21
1923017	Hubei partiti-like virus 11
1327935	Cronobacter phage S13
11041	Rubella virus
648170	Aedes pseudoscutellaris reovirus
1350000	unclassified Megrivirus
1712387	Binucleate Rhizoctonia mitovirus K1
1634485	Mongoose feces-associated gemycircularvirus a
1229786	Propionibacterium phage P101A
575610	Staphylococcus virus IPLA35
1408258	Turkey aviadenovirus D
878329	Turkey aviadenovirus B
1408257	Turkey aviadenovirus C
128941	Tomato curly stunt virus
1223561	Reptarenavirus
1408257	Turkey aviadenovirus 4
1408258	Turkey aviadenovirus 5
185637	Pseudoplusia includens densovirus
205875	Corndogvirus
11653	Ovine/caprine lentivirus group
12118	Foot-and-mouth disease virus - type O
586418	Cosavirus
331975	Alvernaviridae
1632184	Tomato enation leaf curl virus
1592211	Sewage-associated circular DNA molecule-1
1524881	Enterobacteria phage Sf101
39730	Rymovirus
219299	Tomato leaf curl Gujarat virus
46014	Acholeplasma virus L2
664785	Sclerotinia sclerotiorum hypovirulence associated DNA virus 1
57119	Bean yellow dwarf virus
1633752	Apple geminivirus PL-2015
1690805	Propionibacterium phage PAC1
57483	European bat 2 lyssavirus
1608440	CHIV14
1615758	Tofla virus
1923642	Wenzhou picorna-like virus 54
10449	Alphabaculovirus
546184	Mycobacterium phage Phaedrus
1486658	Bacillus phage Evoli
604276	TYLCAxV-Sic1-[IT:Sic2/2:04]
1129147	Klebsiella phage KP27
244310	Burkholderia virus Bcep1
1016856	Banana streak UL virus
37126	Citrus leaf rugose virus
28882	Ustilago maydis virus H1
12382	Bxz1virus
1983563	Lake Sinai Virus SA2
1983562	Lake Sinai Virus SA1
1401449	Ramie yellow mosaic virus
11632	Retroviridae
1296646	Mycobacterium phage Butters
515444	Eupatorium vein clearing virus
260149	Aeromonas virus 65
1486661	Bacillus phage Megatron
10867	Enterobacteria phage Ike
1071177	Psychrobacter phage Psymv2
1546178	Southwest baboon virus 1
1587502	Wenzhou mammarenavirus
