#tax_id	genomic_nucleotide_accession.version
5599	NW_017306212.1
5599	NW_017306213.1
5599	NW_017306214.1
5599	NW_017306215.1
5599	NW_017306239.1
5599	NW_017306246.1
5599	NW_017306249.1
5599	NW_017306257.1
5599	NW_017306268.1
5599	NW_017306241.1
5599	NW_017306248.1
5599	NW_017306252.1
5599	NW_017306245.1
5599	NW_017306240.1
5599	NW_017306253.1
5599	NW_017306254.1
5599	NW_017306244.1
5599	NW_017306243.1
5599	NW_017306255.1
5599	NW_017306260.1
5599	NW_017306259.1
13368	NC_013145.2
13502	NC_052374.1
13502	NC_052375.1
13502	NC_052376.1
13502	NW_024066106.1
13502	NC_052377.1
27288	NC_003920.1
27289	NC_036377.1
27291	NC_018044.1
27291	NC_047487.1
27291	NC_047488.1
27291	NC_047489.1
27291	NC_047490.1
27291	NC_047491.1
27291	NC_047492.1
27291	NC_047493.1
27291	NC_047494.1
27291	NC_047495.1
27291	NC_047496.1
27291	NC_047497.1
27291	NC_047498.1
27291	NC_047499.1
27291	NC_047500.1
27291	NC_047501.1
27291	NC_047502.1
27292	NC_031515.1
27293	NC_004918.1
27294	NC_036378.1
27323	NC_050340.1
27337	NC_008248.1
27342	NC_044679.1
27357	NC_027280.1
28583	NC_001715.1
29833	NC_007780.1
29852	NC_030206.1
29855	NC_030252.1
29856	NC_036667.1
29883	NC_042773.1
29884	NC_027188.1
29908	NC_015923.1
29910	NC_036382.1
34391	NC_007394.1
34467	NC_037936.1
35629	NC_027457.1
35717	NC_032064.1
35722	NC_024944.1
36015	NC_022158.1
36033	NC_009638.1
36035	NC_037703.1
36038	NC_022159.1
36066	NC_020368.1
36075	NC_022933.1
36651	NC_015080.1
36659	NC_044971.1
36911	NC_022161.1
37992	NC_046734.1
37998	NC_032302.1
38005	NC_046839.1
38006	NC_030636.1
38038	NC_023128.1
38945	NC_021373.1
39397	NC_022168.1
39966	NC_042219.1
40145	NC_028135.1
40302	NW_020169395.1
40302	NW_020169305.1
40302	NW_020169296.1
40302	NW_020169396.1
40302	NW_020169397.1
40302	NW_020169398.1
40302	NW_020169399.1
40302	NW_020169400.1
40302	NW_020169401.1
40302	NW_020169402.1
40302	NW_020169403.1
40302	NW_020169404.1
40302	NW_020169405.1
40302	NW_020169306.1
40302	NW_020169406.1
40302	NW_020169407.1
40302	NW_020169408.1
40302	NW_020169409.1
40302	NW_020169410.1
40302	NW_020169411.1
40302	NW_020169412.1
40302	NW_020169413.1
40302	NW_020169414.1
40302	NW_020169415.1
40302	NW_020169307.1
40302	NW_020169416.1
40302	NW_020169417.1
40302	NW_020169418.1
40302	NW_020169419.1
40302	NW_020169420.1
40302	NW_020169421.1
40302	NW_020169422.1
40302	NW_020169423.1
40302	NW_020169424.1
40302	NW_020169425.1
40302	NW_020169308.1
40302	NW_020169426.1
40302	NW_020169427.1
40302	NW_020169428.1
40302	NW_020169429.1
40302	NW_020169430.1
40302	NW_020169431.1
40302	NW_020169432.1
40302	NW_020169433.1
40302	NW_020169434.1
40302	NW_020169435.1
40302	NW_020169309.1
40302	NW_020169436.1
40302	NW_020169437.1
40302	NW_020169439.1
40302	NW_020169440.1
40302	NW_020169441.1
40302	NW_020169442.1
40302	NW_020169443.1
40302	NW_020169445.1
40302	NW_020169310.1
40302	NW_020169446.1
40302	NW_020169447.1
40302	NW_020169448.1
40302	NW_020169449.1
40302	NW_020169450.1
40302	NW_020169451.1
40302	NW_020169452.1
40302	NW_020169453.1
40302	NW_020169454.1
40302	NW_020169455.1
40302	NW_020169311.1
40302	NW_020169456.1
40302	NW_020169457.1
40302	NW_020169458.1
40302	NW_020169459.1
40302	NW_020169460.1
40302	NW_020169461.1
40302	NW_020169462.1
40302	NW_020169463.1
40302	NW_020169464.1
40302	NW_020169465.1
40302	NW_020169312.1
40302	NW_020169466.1
40302	NW_020169467.1
40302	NW_020169468.1
40302	NW_020169469.1
40302	NW_020169471.1
40302	NW_020169472.1
40302	NW_020169473.1
40302	NW_020169474.1
40302	NW_020169475.1
40302	NW_020169313.1
40302	NW_020169476.1
40302	NW_020169477.1
40302	NW_020169478.1
40302	NW_020169479.1
40302	NW_020169480.1
40302	NW_020169481.1
40302	NW_020169482.1
40302	NW_020169483.1
40302	NW_020169484.1
40302	NW_020169485.1
40302	NW_020169314.1
40302	NW_020169486.1
40302	NW_020169487.1
40302	NW_020169488.1
40302	NW_020169489.1
40302	NW_020169490.1
40302	NW_020169491.1
40302	NW_020169492.1
40302	NW_020169493.1
40302	NW_020169494.1
40302	NW_020169495.1
40302	NW_020169315.1
40302	NW_020169297.1
40302	NW_020169496.1
40302	NW_020169497.1
40302	NW_020169498.1
40302	NW_020169499.1
40302	NW_020169500.1
40302	NW_020169501.1
40302	NW_020169502.1
40302	NW_020169503.1
40302	NW_020169504.1
40302	NW_020169505.1
40302	NW_020169316.1
40302	NW_020169507.1
40302	NW_020169509.1
40302	NW_020169510.1
40302	NW_020169511.1
40302	NW_020169512.1
40302	NW_020169513.1
40302	NW_020169514.1
40302	NW_020169515.1
40302	NW_020169317.1
40302	NW_020169516.1
40302	NW_020169517.1
40302	NW_020169518.1
40302	NW_020169519.1
40302	NW_020169520.1
40302	NW_020169521.1
40302	NW_020169522.1
40302	NW_020169523.1
40302	NW_020169524.1
40302	NW_020169525.1
40302	NW_020169318.1
40302	NW_020169526.1
40302	NW_020169527.1
40302	NW_020169528.1
40302	NW_020169529.1
40302	NW_020169530.1
40302	NW_020169531.1
40302	NW_020169532.1
40302	NW_020169533.1
40302	NW_020169535.1
40302	NW_020169319.1
40302	NW_020169536.1
40302	NW_020169538.1
40302	NW_020169539.1
40302	NW_020169540.1
40302	NW_020169541.1
40302	NW_020169542.1
40302	NW_020169543.1
40302	NW_020169544.1
40302	NW_020169545.1
40302	NW_020169320.1
40302	NW_020169548.1
40302	NW_020169553.1
40302	NW_020169566.1
40302	NW_020169554.1
40302	NW_020169321.1
40302	NW_020169555.1
40302	NW_020169556.1
40302	NW_020169557.1
40302	NW_020169558.1
40302	NW_020169560.1
40302	NW_020169563.1
40302	NW_020169564.1
40302	NW_020169322.1
40302	NW_020169565.1
40302	NW_020169567.1
40302	NW_020169568.1
40302	NW_020169570.1
40302	NW_020169572.1
40302	NW_020169573.1
40302	NW_020169574.1
40302	NW_020169323.1
40302	NW_020169576.1
40302	NW_020169577.1
40302	NW_020169579.1
40302	NW_020169580.1
40302	NW_020169581.1
40302	NW_020169582.1
40302	NW_020169583.1
40302	NW_020169584.1
40302	NW_020169585.1
40302	NW_020169324.1
40302	NW_020169586.1
40302	NW_020169589.1
40302	NW_020169590.1
40302	NW_020169593.1
40302	NW_020169594.1
40302	NW_020169595.1
40302	NW_020169325.1
40302	NW_020169298.1
40302	NW_020169596.1
40302	NW_020169598.1
40302	NW_020169599.1
40302	NW_020169601.1
40302	NW_020169602.1
40302	NW_020169604.1
40302	NW_020169326.1
40302	NW_020169606.1
40302	NW_020169608.1
40302	NW_020169612.1
40302	NW_020169613.1
40302	NW_020169327.1
40302	NW_020169616.1
40302	NW_020169618.1
40302	NW_020169619.1
40302	NW_020169621.1
40302	NW_020169622.1
40302	NW_020169623.1
40302	NW_020169624.1
40302	NW_020169625.1
40302	NW_020169328.1
40302	NW_020169626.1
40302	NW_020169627.1
40302	NW_020169629.1
40302	NW_020169630.1
40302	NW_020169631.1
40302	NW_020169632.1
40302	NW_020169633.1
40302	NW_020169634.1
40302	NW_020169635.1
40302	NW_020169329.1
40302	NW_020169636.1
40302	NW_020169637.1
40302	NW_020169638.1
40302	NW_020169639.1
40302	NW_020169640.1
40302	NW_020169641.1
40302	NW_020169642.1
40302	NW_020169643.1
40302	NW_020169644.1
40302	NW_020169645.1
40302	NW_020169330.1
40302	NW_020169646.1
40302	NW_020169647.1
40302	NW_020169648.1
40302	NW_020169650.1
40302	NW_020169652.1
40302	NW_020169654.1
40302	NW_020169655.1
40302	NW_020169331.1
40302	NW_020169656.1
40302	NW_020169657.1
40302	NW_020169659.1
40302	NW_020169662.1
40302	NW_020169663.1
40302	NW_020169665.1
40302	NW_020169332.1
40302	NW_020169666.1
40302	NW_020169668.1
40302	NW_020169670.1
40302	NW_020169671.1
40302	NW_020169672.1
40302	NW_020169674.1
40302	NW_020169675.1
40302	NW_020169333.1
40302	NW_020169676.1
40302	NW_020169677.1
40302	NW_020169678.1
40302	NW_020169679.1
40302	NW_020169680.1
40302	NW_020169681.1
40302	NW_020169683.1
40302	NW_020169334.1
40302	NW_020169686.1
40302	NW_020169687.1
40302	NW_020169688.1
40302	NW_020169689.1
40302	NW_020169691.1
40302	NW_020169693.1
40302	NW_020169694.1
40302	NW_020169695.1
40302	NW_020169335.1
